region,year,wgs84,rd
stadsgewest,2014,https://cartomap.github.io/nl/wgs84/stadsgewest_2014.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2014.geojson
stadsgewest,2015,https://cartomap.github.io/nl/wgs84/stadsgewest_2015.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2015.geojson
subres_regio,2021,https://cartomap.github.io/nl/wgs84/subres_regio_2021.geojson,https://cartomap.github.io/nl/rd/subres_regio_2021.geojson
subres_regio,2022,https://cartomap.github.io/nl/wgs84/subres_regio_2022.geojson,https://cartomap.github.io/nl/rd/subres_regio_2022.geojson
subres_regio,2023,https://cartomap.github.io/nl/wgs84/subres_regio_2023.geojson,https://cartomap.github.io/nl/rd/subres_regio_2023.geojson
toeristengebied,1995,https://cartomap.github.io/nl/wgs84/toeristengebied_1995.geojson,https://cartomap.github.io/nl/rd/toeristengebied_1995.geojson
toeristengebied,1996,https://cartomap.github.io/nl/wgs84/toeristengebied_1996.geojson,https://cartomap.github.io/nl/rd/toeristengebied_1996.geojson
toeristengebied,1997,https://cartomap.github.io/nl/wgs84/toeristengebied_1997.geojson,https://cartomap.github.io/nl/rd/toeristengebied_1997.geojson
toeristengebied,1998,https://cartomap.github.io/nl/wgs84/toeristengebied_1998.geojson,https://cartomap.github.io/nl/rd/toeristengebied_1998.geojson
toeristengebied,1999,https://cartomap.github.io/nl/wgs84/toeristengebied_1999.geojson,https://cartomap.github.io/nl/rd/toeristengebied_1999.geojson
toeristengebied,2000,https://cartomap.github.io/nl/wgs84/toeristengebied_2000.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2000.geojson
toeristengebied,2001,https://cartomap.github.io/nl/wgs84/toeristengebied_2001.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2001.geojson
toeristengebied,2002,https://cartomap.github.io/nl/wgs84/toeristengebied_2002.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2002.geojson
toeristengebied,2003,https://cartomap.github.io/nl/wgs84/toeristengebied_2003.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2003.geojson
toeristengebied,2004,https://cartomap.github.io/nl/wgs84/toeristengebied_2004.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2004.geojson
toeristengebied,2005,https://cartomap.github.io/nl/wgs84/toeristengebied_2005.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2005.geojson
